group_id,problem_name,submission_id,username,language,identical_submissions_in_group
1,unknown,1390059531,unknown,unknown,3
1,unknown,1390054386,unknown,unknown,3
1,unknown,1390054309,unknown,unknown,3
2,unknown,1390059556,unknown,unknown,3
2,unknown,1390054551,unknown,unknown,3
2,unknown,1390054492,unknown,unknown,3
3,unknown,1390059287,unknown,unknown,2
3,unknown,1390059439,unknown,unknown,2
4,unknown,1390059469,unknown,unknown,3
4,unknown,1390055063,unknown,unknown,3
4,unknown,1390053992,unknown,unknown,3
5,unknown,1390057705,unknown,unknown,52
5,unknown,1390057031,unknown,unknown,52
5,unknown,1390056120,unknown,unknown,52
5,unknown,1390056078,unknown,unknown,52
5,unknown,1390055970,unknown,unknown,52
5,unknown,1390055967,unknown,unknown,52
5,unknown,1390055796,unknown,unknown,52
5,unknown,1390055765,unknown,unknown,52
5,unknown,1390055759,unknown,unknown,52
5,unknown,1390055453,unknown,unknown,52
5,unknown,1390055207,unknown,unknown,52
5,unknown,1390055155,unknown,unknown,52
5,unknown,1390055109,unknown,unknown,52
5,unknown,1390055097,unknown,unknown,52
5,unknown,1390055046,unknown,unknown,52
5,unknown,1390054982,unknown,unknown,52
5,unknown,1390054960,unknown,unknown,52
5,unknown,1390054952,unknown,unknown,52
5,unknown,1390054949,unknown,unknown,52
5,unknown,1390054936,unknown,unknown,52
5,unknown,1390054887,unknown,unknown,52
5,unknown,1390054846,unknown,unknown,52
5,unknown,1390054423,unknown,unknown,52
5,unknown,1390054286,unknown,unknown,52
5,unknown,1390054123,unknown,unknown,52
5,unknown,1390054042,unknown,unknown,52
5,unknown,1390054038,unknown,unknown,52
5,unknown,1390053937,unknown,unknown,52
5,unknown,1390053926,unknown,unknown,52
5,unknown,1390053882,unknown,unknown,52
5,unknown,1390053866,unknown,unknown,52
5,unknown,1390053825,unknown,unknown,52
5,unknown,1390053729,unknown,unknown,52
5,unknown,1390053719,unknown,unknown,52
5,unknown,1390053664,unknown,unknown,52
5,unknown,1390053566,unknown,unknown,52
5,unknown,1390053491,unknown,unknown,52
5,unknown,1390053379,unknown,unknown,52
5,unknown,1390053339,unknown,unknown,52
5,unknown,1390053318,unknown,unknown,52
5,unknown,1390053313,unknown,unknown,52
5,unknown,1390053308,unknown,unknown,52
5,unknown,1390053250,unknown,unknown,52
5,unknown,1390053237,unknown,unknown,52
5,unknown,1390053241,unknown,unknown,52
5,unknown,1390053227,unknown,unknown,52
5,unknown,1390053185,unknown,unknown,52
5,unknown,1390053178,unknown,unknown,52
5,unknown,1390053174,unknown,unknown,52
5,unknown,1390053166,unknown,unknown,52
5,unknown,1390053156,unknown,unknown,52
5,unknown,1390053107,unknown,unknown,52
6,unknown,1390057643,unknown,unknown,32
6,unknown,1390057102,unknown,unknown,32
6,unknown,1390056985,unknown,unknown,32
6,unknown,1390056162,unknown,unknown,32
6,unknown,1390056137,unknown,unknown,32
6,unknown,1390056094,unknown,unknown,32
6,unknown,1390056002,unknown,unknown,32
6,unknown,1390055563,unknown,unknown,32
6,unknown,1390055383,unknown,unknown,32
6,unknown,1390055355,unknown,unknown,32
6,unknown,1390055316,unknown,unknown,32
6,unknown,1390055280,unknown,unknown,32
6,unknown,1390055248,unknown,unknown,32
6,unknown,1390055174,unknown,unknown,32
6,unknown,1390054990,unknown,unknown,32
6,unknown,1390054903,unknown,unknown,32
6,unknown,1390054901,unknown,unknown,32
6,unknown,1390054892,unknown,unknown,32
6,unknown,1390054792,unknown,unknown,32
6,unknown,1390054681,unknown,unknown,32
6,unknown,1390054638,unknown,unknown,32
6,unknown,1390054452,unknown,unknown,32
6,unknown,1390054413,unknown,unknown,32
6,unknown,1390054100,unknown,unknown,32
6,unknown,1390054094,unknown,unknown,32
6,unknown,1390054080,unknown,unknown,32
6,unknown,1390054054,unknown,unknown,32
6,unknown,1390054051,unknown,unknown,32
6,unknown,1390054031,unknown,unknown,32
6,unknown,1390054005,unknown,unknown,32
